title,genres,keywords,cast,director,overview
Inception,Sci-Fi Thriller Action,dream heist subconscious corporate espionage,Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page,Christopher Nolan,A thief who steals corporate secrets through dream-sharing technology is given a chance at redemption.
Interstellar,Sci-Fi Drama Adventure,space time travel wormhole survival,Matthew McConaughey Anne Hathaway Jessica Chastain,Christopher Nolan,A team of explorers travel through a wormhole in space to ensure humanity's survival.
The Dark Knight,Action Crime Drama,vigilante chaos moral dilemma gotham,Christian Bale Heath Ledger Aaron Eckhart,Christopher Nolan,Batman faces the Joker a criminal mastermind who wants to plunge Gotham into anarchy.
The Prestige,Drama Mystery Thriller,magic rivalry obsession illusion,Christian Bale Hugh Jackman Scarlett Johansson,Christopher Nolan,Two rival magicians engage in a battle to create the ultimate stage illusion.
Memento,Mystery Thriller,amnesia revenge nonlinear investigation,Guy Pearce Carrie-Anne Moss,Christopher Nolan,A man with short-term memory loss uses notes and tattoos to hunt his wife's killer.
The Matrix,Sci-Fi Action,simulation rebellion hacker chosen one,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,Lana Wachowski,A hacker discovers reality is a simulation and joins a rebellion against machines.
The Matrix Reloaded,Sci-Fi Action,simulation rebellion prophecy machines,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,Lana Wachowski,Neo and the rebels dig deeper into the mystery of the Matrix.
Blade Runner 2049,Sci-Fi Drama Mystery,android identity dystopia detective,Ryan Gosling Harrison Ford Ana de Armas,Denis Villeneuve,A young blade runner uncovers a secret that could plunge society into chaos.
Arrival,Sci-Fi Drama,aliens language communication linguist,Amy Adams Jeremy Renner,Denis Villeneuve,A linguist is recruited to communicate with alien visitors after their arrival on Earth.
Dune,Sci-Fi Adventure Drama,desert planet prophecy politics empire,Timothee Chalamet Zendaya Rebecca Ferguson,Denis Villeneuve,A noble family becomes embroiled in a war for control over a desert planet's valuable resource.
The Shawshank Redemption,Drama,prison friendship hope redemption,Tim Robbins Morgan Freeman,Frank Darabont,Two imprisoned men bond over years finding solace and eventual redemption.
The Godfather,Crime Drama,mafia family power legacy,Marlon Brando Al Pacino James Caan,Francis Ford Coppola,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.
Pulp Fiction,Crime Drama,nonlinear hitman redemption dialogue,John Travolta Samuel L. Jackson Uma Thurman,Quentin Tarantino,The lives of two mob hitmen a boxer and a gangster's wife intertwine in four tales of violence.
Kill Bill Vol 1,Action Crime Thriller,revenge assassin martial arts,Uma Thurman David Carradine Lucy Liu,Quentin Tarantino,A former assassin wakes from a coma and sets out for revenge against her former crew.
Django Unchained,Western Drama,slavery bounty hunter revenge,Jamie Foxx Christoph Waltz Leonardo DiCaprio,Quentin Tarantino,A freed slave sets out to rescue his wife from a brutal plantation owner.
Whiplash,Drama Music,jazz obsession mentorship ambition,Miles Teller J.K. Simmons,Damien Chazelle,A young drummer enrolls at a music conservatory under a ruthless instructor.
La La Land,Musical Romance Drama,jazz ambition love hollywood,Ryan Gosling Emma Stone,Damien Chazelle,A jazz musician and an aspiring actress fall in love while pursuing their dreams in LA.
Parasite,Thriller Drama Comedy,class inequality deception family,Song Kang-ho Choi Woo-shik Park So-dam,Bong Joon-ho,A poor family schemes to become employed by a wealthy household by infiltrating it.
Snowpiercer,Sci-Fi Action Drama,dystopia class train survival,Chris Evans Song Kang-ho Tilda Swinton,Bong Joon-ho,Survivors of a frozen apocalypse live aboard a train divided by class.
Get Out,Horror Mystery Thriller,racism hypnosis family secrets,Daniel Kaluuya Allison Williams,Jordan Peele,A young man uncovers a disturbing secret when he meets his white girlfriend's family.
Us,Horror Thriller,doppelganger family survival identity,Lupita Nyong'o Winston Duke,Jordan Peele,A family is terrorized by a group of doppelgangers during a beach vacation.
The Social Network,Drama Biography,startup betrayal ambition lawsuit,Jesse Eisenberg Andrew Garfield,David Fincher,The founding of Facebook and the resulting lawsuits between friends and business partners.
Fight Club,Drama Thriller,identity insomnia rebellion consumerism,Brad Pitt Edward Norton Helena Bonham Carter,David Fincher,An insomniac office worker forms an underground fight club with a soap salesman.
Gone Girl,Thriller Mystery Drama,marriage disappearance media manipulation,Ben Affleck Rosamund Pike,David Fincher,A man becomes the prime suspect when his wife disappears on their anniversary.
Avengers Endgame,Action Adventure Sci-Fi,superhero team time travel sacrifice,Robert Downey Jr. Chris Evans Scarlett Johansson,Anthony Russo,The remaining Avengers assemble to reverse the damage caused by a powerful villain.
Guardians of the Galaxy,Action Adventure Comedy,space team misfits rescue,Chris Pratt Zoe Saldana,James Gunn,A group of intergalactic misfits band together to save the galaxy.
Spider-Man Into the Spider-Verse,Animation Action Adventure,multiverse superhero coming of age,Shameik Moore Hailee Steinfeld,Bob Persichetti,A teenager becomes Spider-Man and joins others from parallel dimensions.
Coco,Animation Family Fantasy,family music afterlife tradition,Anthony Gonzalez Gael Garcia Bernal,Lee Unkrich,A boy journeys to the land of the dead to uncover his family's musical history.
Inside Out,Animation Family Comedy,emotions childhood identity growth,Amy Poehler Bill Hader,Pete Docter,The emotions inside a young girl's mind navigate her move to a new city.
Spirited Away,Animation Fantasy Adventure,spirits coming of age magic,Rumi Hiiragi Miyu Irino,Hayao Miyazaki,A young girl wanders into a world ruled by spirits and must find a way home.
The Grand Budapest Hotel,Comedy Drama,hotel heist friendship whimsical,Ralph Fiennes Tony Revolori,Wes Anderson,A concierge and his protege become embroiled in a stolen painting mystery.
Knives Out,Mystery Comedy Crime,family inheritance detective murder,Daniel Craig Chris Evans Ana de Armas,Rian Johnson,A detective investigates the death of a patriarch surrounded by a dysfunctional family.
Everything Everywhere All at Once,Sci-Fi Comedy Drama,multiverse family identity chaos,Michelle Yeoh Ke Huy Quan,Daniel Kwan,An exhausted woman discovers she must connect with parallel universe versions of herself.
Oppenheimer,Drama History Biography,science war bomb morality,Cillian Murphy Emily Blunt Robert Downey Jr.,Christopher Nolan,The story of scientist J. Robert Oppenheimer and his role in developing the atomic bomb.
